type,start_ms,duration_ms
author,1748534725430,1494
author,1748534736159,1495
author,1748534746834,1502
author,1748534757482,1496
author,1748534768102,1463
author,1748534778789,1465
author,1748534789442,1470
author,1748534800279,1461
author,1748534811080,1475
author,1748534821742,1452
rate_pseudo,1748534717259,1683
rate_pseudo,1748534727979,1709
rate_pseudo,1748534738664,1703
rate_pseudo,1748534749375,1683
rate_pseudo,1748534759987,1683
rate_pseudo,1748534770572,1703
rate_pseudo,1748534781272,1683
rate_pseudo,1748534791948,1725
rate_pseudo,1748534802760,1690
rate_pseudo,1748534813576,1691
pseudo_msg,1748534498813,1651
pseudo_msg,1748534509486,1653
pseudo_msg,1748534520208,1651
pseudo_msg,1748534530917,1646
pseudo_msg,1748534541676,1667
pseudo_msg,1748534552467,1640
pseudo_msg,1748534563255,1650
pseudo_msg,1748534574046,1649
pseudo_msg,1748534584809,1703
pseudo_msg,1748534595665,1652
pseudo_vote,1748534722997,1410
pseudo_vote,1748534733758,1407
pseudo_vote,1748534744424,1412
pseudo_vote,1748534755094,1416
pseudo_vote,1748534765740,1408
pseudo_vote,1748534776382,1411
pseudo_vote,1748534787086,1422
pseudo_vote,1748534797818,1483
pseudo_vote,1748534808613,1489
pseudo_vote,1748534819347,1444
badge,1748534719985,1346
badge,1748534730734,1339
badge,1748534741437,1344
badge,1748534752113,1334
badge,1748534762726,1377
badge,1748534773336,1401
badge,1748534783996,1391
badge,1748534794754,1375
badge,1748534805538,1374
badge,1748534816324,1351
